test,Test,test
usr,Usr,pwd
southeast,Southwest,df89gy9Qw
american,American Airlines,buihw09H2
delta,Delta Air Lines,b89uwqNse
hawaii,Hawaiian Airlines,pa876GHsftu
spirit,Spirit Airlines,7HFRSPL8hau
lufthansa,Lufthansa,BI39sdhgio2
uk,British Airways,aSdf8972342A
cathay,Cathay Pacific,aes89E723hg0
france,Air France,d89f7hnj23
fedex,FedEx Express,dFa9873ihr0e
greece,Aegean Airways,daSf87h22
canada,Air Canada,Ie87f6H2
czechoslovakianairlinesflyingyou,Favorite Airlines/Czech Airlines,sDda8d9fh
aireuropa,Air Europa,saOodifuj
brussels,Brussels Airlines,diAa90j2sd
finnair,Finnair,iwEUr0fw22
egypt,AirEgypt,iojteNtv782a
airchina,Air China,34jlKlJ09d
indigo,IndiGo,nn55io3J4
